Node0px,Node0py,Node0pz,Node1px,Node1py,Node1pz,Node2px,Node2py,Node2pz,Node3px,Node3py,Node3pz,Node4px,Node4py,Node4pz,Node5px,Node5py,Node5pz,Node6px,Node6py,Node6pz,Node7px,Node7py,Node7pz,Node8px,Node8py,Node8pz,Node9px,Node9py,Node9pz,Node10px,Node10py,Node10pz,Node11px,Node11py,Node11pz,Node12px,Node12py,Node12pz,Node13px,Node13py,Node13pz,Node14px,Node14py,Node14pz,Node15px,Node15py,Node15pz,Node16px,Node16py,Node16pz,Node17px,Node17py,Node17pz,Node18px,Node18py,Node18pz,Node19px,Node19py,Node19pz,Node20px,Node20py,Node20pz
(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m)
400,692.82,-400,389.8137,675.0911,-397.9047,379.6378,657.4658,-394.9735,369.4563,639.8315,-392.0369,359.2676,622.1846,-389.0983,349.0698,604.5219,-386.157,338.8605,586.8395,-383.2124,328.6371,569.1326,-380.2638,318.3964,551.3957,-377.3102,308.1346,533.6222,-374.3504,297.8469,515.8038,-371.3833,287.5276,497.9308,-368.407,277.1696,479.9908,-365.4195,266.7641,461.9684,-362.4183,256.2997,443.8441,-359.4002,245.7619,425.5925,-356.3608,235.1314,407.1806,-353.292,224.387,388.5713,-350.1161,213.5795,369.8336,-345.9705,203.358,351.906,-338.2406,193.876,335.3085,-327.2644
400,692.82,-400,389.7873,674.7319,-399.6293,379.5024,656.8749,-396.8896,369.2039,639.0363,-393.9265,358.8909,621.1742,-390.9522,348.5594,603.28,-387.9724,338.2048,585.3458,-384.9859,327.8217,567.3623,-381.9912,317.404,549.3187,-378.9865,306.9441,531.2022,-375.9696,296.433,512.997,-372.938,285.8598,494.6842,-369.8885,275.2105,476.2396,-366.817,264.4676,457.6329,-363.7185,253.6088,438.8254,-360.5843,242.7146,419.9576,-357.4032,231.8466,401.1373,-353.8595,221.1964,382.6371,-348.4486,211.1391,364.9104,-340.1015,201.3792,347.8156,-330.2178,191.9652,331.3802,-318.9678
400,692.82,-400,389.7819,674.4007,-400.0035,379.3771,656.093,-399.0591,368.9331,637.9738,-396.1945,358.4666,619.8442,-393.1819,347.9744,601.6715,-390.1558,337.4501,583.4434,-387.1204,326.8863,565.147,-384.0736,316.2742,546.7668,-381.0129,305.6029,528.284,-377.935,294.8592,509.676,-374.8363,284.0269,490.9144,-371.7121,273.1334,472.0469,-368.5698,262.2397,453.1793,-365.4212,251.3495,434.3198,-362.205,240.4943,415.5264,-358.5125,229.871,397.0839,-352.8812,219.7961,379.35,-344.5913,209.8743,361.9785,-335.3973,200.2273,345.1163,-325.0364,190.8785,328.809,-313.5721
400,692.82,-400,389.7028,674.1146,-400.0055,379.3215,655.4379,-400.0044,368.7277,636.9058,-398.5054,358.1163,618.5076,-395.5267,347.4726,600.0715,-392.4607,336.7912,581.5712,-389.3802,326.0636,562.9909,-386.2861,315.2792,544.3123,-383.1757,304.4253,525.5134,-380.0452,293.5342,506.65,-376.9039,282.6431,487.7865,-373.7622,271.752,468.9236,-370.6147,260.8638,450.0678,-367.4144,249.999,431.259,-363.8749,239.283,412.6857,-358.9199,229.0818,394.8259,-351.0892,219.0849,377.2937,-342.3116,209.2497,360.1472,-332.6356,199.6893,343.4321,-321.9789,190.3865,327.2221,-310.3576
400,692.82,-400,389.6372,673.8763,-400.0055,379.2369,654.9365,-400.0054,368.6536,636.0644,-400.01,357.9055,617.3516,-397.9024,347.1445,598.7038,-394.8341,336.3424,579.9938,-391.7203,325.4915,561.2,-388.5907,314.6017,542.3389,-385.4499,303.712,523.4779,-382.3091,292.8222,504.6168,-379.168,281.9325,485.7561,-376.0243,271.0439,466.8986,-372.8573,260.1647,448.0622,-369.5365,249.3467,429.3315,-365.4962,238.819,411.0181,-359.3344,228.8055,393.4264,-350.7065,218.7844,376.014,-341.731,209.0751,359.0469,-331.631,199.5542,342.4515,-320.7636,190.3326,326.3655,-308.9166
400,692.82,-400,389.6259,673.6918,-400.0055,379.1794,654.5871,-400.0056,368.6599,635.4908,-400.0053,357.8739,616.4943,-400.0249,347.0254,597.6668,-397.2626,336.146,578.8201,-394.1356,325.2577,559.9614,-390.9957,314.3693,541.1026,-387.8552,303.4809,522.2438,-384.7147,292.5924,503.3851,-381.5735,281.7043,484.5274,-378.4255,270.8186,465.6764,-375.2293,259.9505,446.8612,-371.7739,249.1819,428.1994,-367.3195,238.7763,410.0362,-360.5453,228.7496,392.464,-351.899,218.7632,375.1817,-342.6431,209.1178,358.3233,-332.3064,199.6434,341.8467,-321.2226,190.5289,325.9473,-309.0471
400,692.82,-400,389.6668,673.5667,-400.0056,379.2036,654.3687,-400.0056,368.7321,635.1445,-400.0056,358.0295,616.0002,-400.0053,347.0858,596.9279,-399.6795,336.1957,578.0565,-396.6203,325.3074,559.1971,-393.4819,314.4189,540.3381,-390.3415,303.5303,521.4791,-387.2008,292.6418,502.6202,-384.0587,281.7536,483.763,-380.9051,270.8693,464.9157,-377.6793,260.0108,446.1152,-374.1111,249.2801,427.4968,-369.3878,238.9193,409.3821,-362.4147,228.8409,391.786,-353.8751,218.8995,374.5716,-344.4427,209.258,357.7587,-334.0255,199.832,341.3743,-322.7618,190.8409,325.7081,-310.1952
400,692.82,-400,389.7258,673.4515,-400.0056,379.2652,654.1666,-400.0056,368.8059,634.8476,-400.0056,358.1862,615.5768,-400.0056,347.2971,596.4568,-400.005,336.3176,577.4105,-399.0899,325.4265,558.5451,-395.9873,314.5374,539.6849,-392.847,303.6482,520.8249,-389.706,292.759,501.9651,-386.5623,281.8706,483.1081,-383.3994,270.9886,464.2651,-380.1309,260.1444,445.4818,-376.4215,249.4537,426.904,-371.4464,239.0913,408.798,-364.4473,228.9685,391.1821,-355.9962,219.0723,373.9916,-346.4683,209.4162,357.2104,-336.0085,200.0599,340.9348,-324.5262,191.1891,325.5146,-311.5713
400,692.82,-400,389.7474,673.342,-400.0055,379.3402,653.946,-400.0056,368.8637,634.5875,-400.0056,358.3015,615.2755,-400.0056,347.5162,596.0874,-400.0055,336.5658,576.9929,-400.0018,325.5948,557.9753,-398.4297,314.6967,539.0987,-395.3624,303.8035,520.2317,-392.2209,292.9107,501.3661,-389.0712,282.0202,482.506,-385.882,271.1436,463.6692,-382.515,260.3273,444.9136,-378.5544,249.6802,426.3858,-373.2823,239.2797,408.2706,-366.3468,229.1305,390.6268,-357.9731,219.2546,373.4336,-348.4186,209.6131,356.7022,-337.8578,200.3454,340.59,-326.0703,191.5302,325.3057,-312.9124
