Node0px,Node0py,Node0pz,Node1px,Node1py,Node1pz,Node2px,Node2py,Node2pz,Node3px,Node3py,Node3pz,Node4px,Node4py,Node4pz,Node5px,Node5py,Node5pz,Node6px,Node6py,Node6pz,Node7px,Node7py,Node7pz,Node8px,Node8py,Node8pz,Node9px,Node9py,Node9pz,Node10px,Node10py,Node10pz
(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m)
193.876,335.3085,-327.2644,174.381,301.4715,-300.3213,155.3663,268.5704,-271.5625,136.5164,235.9831,-242.0385,117.7099,203.4847,-212.1418,98.9107,171,-182.0347,80.1289,138.5201,-151.7743,61.3618,106.0528,-121.4013,42.5889,73.5881,-90.9775,23.803,41.1226,-60.5394,5.0025,8.66,-30.1012
191.9652,331.3802,-318.9678,172.572,297.6672,-292.6555,153.597,264.7728,-264.8989,134.8534,232.3409,-236.3368,116.2286,200.1588,-207.3268,97.6634,168.115,-178.0578,79.1267,136.1529,-148.6335,60.6029,104.2427,-119.1134,42.08,72.3686,-89.536,23.5453,40.512,-59.9393,5.0111,8.66,-30.3351
190.8785,328.809,-313.5721,171.647,295.3526,-287.5861,152.7587,262.599,-260.4234,134.1038,230.3254,-232.4899,115.5898,198.3548,-204.0824,97.1543,166.5737,-175.3862,78.7542,134.9099,-146.5196,60.3539,103.3108,-117.5702,41.9316,71.7371,-88.6002,23.4902,40.1839,-59.6167,5.0267,8.66,-30.6144
190.3865,327.2221,-310.3576,171.3027,294.0235,-284.4344,152.4899,261.3965,-257.5883,133.8914,229.2301,-230.0339,115.4296,197.382,-202.012,97.0359,165.7397,-173.706,78.6571,134.2183,-145.2503,60.2732,102.7627,-116.7217,41.8905,71.3558,-88.1363,23.4949,39.9859,-59.5174,5.0495,8.66,-30.8818
190.3326,326.3655,-308.9166,171.4153,293.4531,-282.7652,152.6497,260.9126,-256.044,134.0661,228.7914,-228.6943,115.6012,196.9847,-200.8991,97.1874,165.384,-172.8351,78.787,133.9055,-144.6243,60.395,102.5022,-116.3236,42.0033,71.1506,-87.9646,23.5889,39.8624,-59.5497,5.0788,8.66,-31.1019
190.5289,325.9473,-309.0471,171.8734,293.4758,-282.208,153.1436,260.9937,-255.4341,134.5345,228.8512,-228.1708,116.0214,197.0093,-200.4926,97.5492,165.3688,-172.5572,79.0947,133.8484,-144.4748,60.6579,102.4045,-116.2949,42.2278,71.038,-88.0243,23.7525,39.7724,-59.6711,5.1135,8.66,-31.2561
190.8409,325.7081,-310.1952,172.4323,293.7185,-282.5241,153.8277,261.4411,-255.3228,135.1819,229.2531,-228.0443,116.5838,197.3107,-200.4461,98.0214,165.5537,-172.6106,79.4978,133.9192,-144.6097,61.0051,102.3964,-116.462,42.5009,70.9925,-88.1886,23.9125,39.7318,-59.8112,5.1509,8.66,-31.3396
191.1891,325.5146,-311.5713,172.8936,293.7733,-283.4093,154.4059,261.8297,-255.6042,135.8289,229.7687,-227.9945,117.1765,197.7338,-200.4054,98.5345,165.8321,-172.6553,79.9299,134.0771,-144.7122,61.3387,102.481,-116.5804,42.7107,71.0512,-88.2865,23.9998,39.7866,-59.8641,5.1885,8.66,-31.356
191.5302,325.3057,-312.9124,173.268,293.7264,-284.4048,154.8236,261.9193,-256.2732,136.2739,230.0458,-228.2892,117.6955,198.1317,-200.3733,99.0489,166.2057,-172.519,80.3483,134.3936,-144.5728,61.6182,102.7392,-116.4692,42.8638,71.2452,-88.203,24.072,39.8942,-59.8035,5.2256,8.66,-31.3113
191.9939,325.3317,-314.2889,173.6963,293.7748,-285.6179,155.2629,262.0622,-257.2064,136.7261,230.2652,-228.9564,118.1118,198.4464,-200.7811,99.4503,166.6646,-172.5939,80.7389,134.8875,-144.4333,61.9451,103.1725,-116.2564,43.0891,71.5679,-87.996,24.192,40.0716,-59.6411,5.2617,8.66,-31.2137
192.3943,325.2837,-315.2445,174.0112,293.6605,-286.5703,155.5439,261.987,-258.0065,136.9858,230.2732,-229.547,118.3469,198.5508,-201.1503,99.653,166.8287,-172.7894,80.9032,135.1292,-144.4397,62.1077,103.4636,-116.0822,43.2447,71.8194,-87.7451,24.3022,40.214,-59.4172,5.2973,8.66,-31.0731
192.8225,325.3313,-315.9298,174.3188,293.6358,-287.3007,155.7766,261.9478,-258.6874,137.1778,230.2595,-230.1105,118.5137,198.5742,-201.5723,99.7879,166.8904,-173.0723,81.0013,135.2171,-144.6001,62.1592,103.5454,-116.1622,43.2605,71.8887,-87.7445,24.3153,40.2593,-59.3267,5.3326,8.66,-30.8996
193.2317,325.4618,-316.2597,174.6076,293.668,-287.7298,155.9784,261.9245,-259.1457,137.3201,230.211,-230.5457,118.6172,198.513,-201.9563,99.8605,166.8236,-173.3912,81.0478,135.1446,-144.8503,62.184,103.4786,-116.3276,43.277,71.8395,-87.8025,24.3378,40.2317,-59.2632,5.3683,8.66,-30.703
193.6132,325.6434,-316.0049,174.8574,293.7262,-287.6569,156.1197,261.8746,-259.223,137.3909,230.083,-230.7159,118.6463,198.3439,-202.1602,99.8669,166.6456,-173.5817,81.0468,134.9814,-144.9917,62.1866,103.3501,-116.391,43.2899,71.7511,-87.7781,24.3615,40.1847,-59.1494,5.4052,8.66,-30.4925
194.0761,325.9444,-315.3486,175.2076,293.908,-287.1966,156.3601,261.968,-258.9197,137.5248,230.1014,-230.5505,118.7003,198.2973,-202.1026,99.8801,166.5576,-173.5787,81.0471,134.8798,-144.9931,62.1885,103.2577,-116.3616,43.3012,71.6839,-87.6945,24.3856,40.1515,-58.9994,5.4436,8.66,-30.2758
194.5072,326.1657,-314.4351,175.567,294.0566,-286.4332,156.6489,262.0601,-258.2864,137.7449,230.1554,-230.0244,118.8512,198.3268,-201.6684,99.9642,166.5658,-173.2311,81.0818,134.8659,-144.7214,62.2013,103.2266,-116.1418,43.3144,71.6492,-87.497,24.4107,40.1299,-58.7983,5.4842,8.66,-30.0595
194.8492,326.2298,-313.4889,175.8849,294.1182,-285.5529,156.935,262.1045,-257.4934,137.9975,230.1836,-229.3187,119.0693,198.3464,-201.0419,100.1471,166.5837,-172.6764,81.2291,134.8878,-144.2321,62.3121,103.2529,-115.7182,43.3922,71.6729,-87.1445,24.4665,40.1434,-58.518,5.5274,8.66,-29.8486
195.1314,326.2042,-312.6845,176.1747,294.1329,-284.7468,157.2206,262.1353,-256.7209,138.271,230.218,-228.5989,119.3258,198.38,-200.3824,100.3833,166.6164,-172.0789,81.4406,134.9203,-143.6986,62.4934,103.2836,-115.2536,43.5368,71.6979,-86.7571,24.5655,40.1575,-58.2191,5.5732,8.66,-29.6469
195.3329,326.0651,-312.0581,176.4057,294.0705,-284.0604,157.4679,262.1176,-256.0209,138.5227,230.2236,-227.9183,119.5717,198.3962,-199.743,100.6137,166.6355,-171.4963,81.6458,134.9367,-143.1857,62.6649,103.2938,-114.8202,43.6694,71.702,-86.4067,24.6565,40.1581,-57.9507,5.6218,8.66,-29.4577
195.47,325.8626,-311.6978,176.5818,293.9619,-283.6025,157.6739,262.0796,-255.4984,138.7436,230.2279,-227.3737,119.7911,198.4202,-199.2132,100.8185,166.6643,-171.0069,81.8277,134.9624,-142.7512,62.8194,103.3135,-114.4471,43.7926,71.7149,-86.0982,24.745,40.1643,-57.7092,5.6729,8.66,-29.2842
195.569,325.6596,-311.5595,176.7003,293.8194,-283.4005,157.8104,262.0039,-255.2269,138.897,230.2095,-227.0444,119.9561,198.4388,-198.8528,100.9853,166.6999,-170.6445,81.9856,135.0009,-142.41,62.9592,103.3465,-114.1425,43.9078,71.7384,-85.8393,24.8311,40.1764,-57.5009,5.7266,8.66,-29.1296
195.6775,325.5448,-311.4647,176.803,293.7002,-283.3192,157.9107,261.9014,-255.1333,138.9968,230.1391,-226.9201,120.0586,198.4068,-198.6888,101.0937,166.7008,-170.4454,82.098,135.0213,-142.1921,63.0686,103.3729,-113.9261,44.0056,71.7609,-85.6412,24.9101,40.1893,-57.3325,5.7826,8.66,-28.9975
195.8268,325.6124,-311.3092,176.9416,293.7173,-283.2192,158.0345,261.8817,-255.0759,139.1077,230.0995,-226.8849,120.1587,198.3637,-198.656,101.1838,166.6669,-170.4,82.1807,135.0037,-142.1246,63.147,103.3708,-113.8354,44.0801,71.7671,-85.5349,24.9781,40.1954,-57.222,5.8411,8.66,-28.8913
195.9664,325.7884,-311.1548,177.0959,293.8571,-283.0785,158.1847,261.9786,-254.9689,139.2429,230.1535,-226.819,120.2763,198.3804,-198.6264,101.2859,166.6572,-170.393,82.2693,134.9799,-142.1251,63.2238,103.3439,-113.8297,44.1479,71.7459,-85.5116,25.0409,40.1845,-57.1731,5.9021,8.66,-28.8143
196.0296,325.9379,-311.1384,177.2008,294.0103,-283.0099,158.3143,262.121,-254.8762,139.3804,230.2734,-226.7264,120.4079,198.4708,-198.5512,101.4037,166.7156,-170.3435,82.3721,135.0092,-142.0987,63.3143,103.3524,-113.8154,44.2288,71.7443,-85.4957,25.1134,40.1816,-57.1448,5.9658,8.66,-28.7693
196.0326,326.0231,-311.2615,177.2413,294.1098,-283.0735,158.3871,262.2322,-254.8864,139.4782,230.3904,-226.6947,120.5219,198.5861,-198.492,101.5237,166.8222,-170.2713,82.4887,135.1017,-142.0259,63.4207,103.4263,-113.7515,44.322,71.7958,-85.4469,25.1931,40.2084,-57.1141,6.0325,8.66,-28.7584
196.0233,326.0747,-311.3996,177.2515,294.1631,-283.1847,158.4194,262.2933,-254.9622,139.5324,230.4633,-226.7308,120.5952,198.6715,-198.4893,101.6122,166.9163,-170.2367,82.5865,135.1969,-141.972,63.5207,103.5124,-113.6946,44.4171,71.8621,-85.4037,25.2774,40.245,-57.0994,6.1025,8.66,-28.7825
196.0031,326.1165,-311.5041,177.2508,294.2072,-283.2708,158.4357,262.338,-255.0333,139.5644,230.5096,-226.7865,120.6416,198.7203,-198.5296,101.6708,166.9673,-170.2634,82.6546,135.2474,-141.9898,63.5955,103.5578,-113.7106,44.4951,71.8968,-85.4265,25.3548,40.264,-57.1372,6.1758,8.66,-28.8413
195.9613,326.1135,-311.6243,177.2323,294.2248,-283.3578,158.4377,262.3658,-255.1006,139.5832,230.5389,-226.8465,120.6742,198.7455,-198.5905,101.7148,166.9858,-170.3295,82.7083,135.2591,-142.0625,63.6572,103.5643,-113.7891,44.5632,71.9001,-85.5096,25.428,40.2656,-57.2243,6.2526,8.66,-28.9331
195.9167,326.0489,-311.7702,177.2038,294.1834,-283.48,158.427,262.3435,-255.2027,139.5901,230.5297,-226.9353,120.6972,198.7431,-198.674,101.7518,166.9853,-170.4147,82.7573,135.2579,-142.1536,63.7164,103.562,-113.8879,44.6312,71.8977,-85.6159,25.5031,40.2642,-57.3379,6.3329,8.66,-29.055
195.8809,325.9551,-311.9299,177.1837,294.1067,-283.6273,158.4214,262.2827,-255.3397,139.599,230.4845,-227.0624,120.7203,198.7127,-198.7923,101.7886,166.9679,-170.5267,82.8066,135.2504,-142.2635,63.7769,103.5606,-114.0007,44.7011,71.899,-85.7367,25.5808,40.2656,-57.4707,6.4166,8.66,-29.2028
195.8485,325.853,-312.1143,177.1715,294.0206,-283.7982,158.4262,262.2123,-255.4995,139.6182,230.4284,-227.2143,120.7525,198.6698,-198.9385,101.8328,166.9371,-170.6692,82.862,135.2304,-142.4043,63.8423,103.5495,-114.1428,44.7754,71.894,-85.884,25.6623,40.264,-57.6272,6.5035,8.66,-29.3717
195.8293,325.7771,-312.3053,177.1692,293.9476,-283.9897,158.4408,262.1477,-255.6853,139.6483,230.3745,-227.3928,120.796,198.6265,-199.1114,101.8878,166.9029,-170.8393,82.9271,135.2037,-142.5744,63.9159,103.5294,-114.3149,44.856,71.8804,-86.0593,25.7483,40.2571,-57.8067,6.5933,8.66,-29.5562
195.831,325.7512,-312.4976,177.1843,293.9165,-284.188,158.4698,262.1125,-255.8882,139.691,230.3384,-227.5967,120.8514,198.5927,-199.3133,101.954,166.8736,-171.0381,83.0018,135.18,-142.7704,63.9973,103.5114,-114.5092,44.9423,71.8682,-86.2529,25.8381,40.2509,-58.0004,6.6857,8.66,-29.7503
195.8483,325.7503,-312.725,177.2151,293.9179,-284.4063,158.5124,262.1114,-256.1038,139.7447,230.3324,-227.8129,120.9152,198.582,-199.5303,102.0269,166.8603,-171.2543,83.082,135.1667,-142.984,64.083,103.5004,-114.7189,45.0318,71.8606,-86.4585,25.9304,40.247,-58.2022,6.7804,8.66,-29.9485
195.8795,325.7523,-312.9969,177.2569,293.9262,-284.6608,158.5641,262.1231,-256.3445,139.805,230.3447,-228.0439,120.9831,198.5922,-199.7552,102.1015,166.8667,-171.4756,83.1626,135.169,-143.2024,64.1686,103.4996,-114.9339,45.1216,71.8585,-86.6689,26.0236,40.2454,-58.4063,6.8771,8.66,-30.145
195.9195,325.7436,-313.2953,177.3041,293.9264,-284.9386,158.6184,262.1291,-256.6054,139.866,230.3542,-228.2904,121.0502,198.6035,-199.9898,102.1739,166.878,-171.7005,83.2398,135.1789,-143.4196,64.2504,103.5071,-115.1448,45.2082,71.8631,-86.8736,26.1156,40.2474,-58.6042,6.9757,8.66,-30.3345
195.9588,325.7126,-313.6121,177.3509,293.9074,-285.2308,158.6712,262.1193,-256.8769,139.9241,230.3508,-228.5448,121.1134,198.6041,-200.2299,102.242,166.8813,-171.9281,83.3127,135.1836,-143.636,64.3284,103.512,-115.351,45.292,71.8672,-87.0705,26.2067,40.2496,-58.7919,7.0758,8.66,-30.5122
195.9909,325.6587,-313.9274,177.3899,293.8633,-285.5259,158.7169,262.085,-257.1518,139.9757,230.3254,-228.8012,121.1703,198.5861,-200.4697,102.3041,166.8687,-172.1535,83.3805,135.1748,-143.8488,64.4027,103.5056,-115.552,45.3738,71.8626,-87.2596,26.2973,40.247,-58.968,7.1772,8.66,-30.6733
196.0187,325.5865,-314.2315,177.4221,293.801,-285.8129,158.7549,262.0312,-257.4224,140.0201,230.2795,-229.0554,121.2211,198.5477,-200.708,102.3613,166.8374,-172.3764,83.4443,135.1499,-144.0566,64.4738,103.4867,-115.7449,45.4535,71.8495,-87.4368,26.3873,40.2401,-59.128,7.2796,8.66,-30.8137
196.0383,325.4871,-314.5207,177.4463,293.7129,-286.0858,158.7842,261.9537,-257.6794,140.0553,230.2115,-229.2974,121.2631,198.4883,-200.9352,102.4109,166.7864,-172.5885,83.5021,135.1077,-144.2529,64.5405,103.4539,-115.924,45.5304,71.8269,-87.5971,26.4763,40.2282,-59.2675,7.3828,8.66,-30.9298
196.0471,325.3716,-314.7907,177.462,293.6048,-286.3442,158.8064,261.8551,-257.924,140.084,230.1235,-229.5269,121.2986,198.4114,-201.149,102.4541,166.7205,-172.786,83.5542,135.053,-144.433,64.6029,103.4109,-116.0852,45.6047,71.7967,-87.7371,26.5642,40.2124,-59.3834,7.4867,8.66,-31.0184
